id,dataset,heuristic_type,heuristic,is_baseline,population,burn_in,replay,reselection,reanalysis,normalisation,credit,discounted_rewards,run,step,train_loss,train_accuracy,test_loss,test_accuracy,rank
928faee6-006a-4a7a-8473-2b012a68e4b1,abalone,bhh,bhh,false,5,0,10,1,1,false,symmetric,true,1,0,3.4714587,0.03771326,3.4449034,0.044258375,1
47df50ae-bbce-4174-adae-28b621e88c22,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,ibest,true,1,0,3.4691973,0.038311884,3.4539413,0.04186603,2
9b64423e-4486-497e-8e77-62cd7b370691,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,0,3.4682002,0.038311884,3.4579248,0.04186603,3
bb101a7a-f87f-46f2-b28e-a49396d6ada0,abalone,bhh,bhh,false,5,0,10,1,1,false,pbest,true,1,0,3.4679947,0.038611196,3.4587471,0.040669855,4
b2b9b489-3dc0-48a1-a50a-8aabc7af0295,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,rbest,true,1,0,3.467934,0.03801257,3.4589894,0.043062203,5
55528836-8dd0-4092-a0cd-b50c83efe7a5,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,symmetric,true,1,0,3.4651046,0.038910504,3.4702976,0.039473683,6
3ef5375a-bae5-4ab0-af58-945f2570eaef,abalone,bhh,bhh,false,5,0,10,1,1,false,rbest,true,1,0,3.4640946,0.040407065,3.474333,0.033492822,7
fd0af006-b721-4b17-a644-6fa39f435068,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,0,3.4640377,0.038311884,3.4745626,0.04186603,8
1ce149d4-30aa-4fe3-9874-593fb2a48fe5,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,pbest,true,1,0,3.4594023,0.040407065,3.493086,0.033492822,9
f8f32414-bbc6-4fd0-b68b-6ad82f394e16,abalone,bhh,bhh,false,5,0,10,1,1,false,ibest,true,1,0,3.459105,0.040706374,3.4942744,0.03229665,10
f38491d4-2820-44d2-ae58-1adf3aa52e51,abalone,bhh,bhh,false,5,0,10,1,1,false,ibest,true,1,1,2.3198056,0.21909608,2.1688502,0.22248805,1
4c4a0715-16b6-4611-82fd-65caec9f6f59,abalone,bhh,bhh,false,5,0,10,1,1,false,rbest,true,1,1,2.305452,0.24004789,2.2300334,0.23803827,2
d31c1751-fda1-462b-b8ae-b3a662b8d195,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,pbest,true,1,1,2.5184853,0.19245735,2.271304,0.20095694,3
ca696972-0771-40ca-b4da-7c7a91479fa5,abalone,bhh,bhh,false,5,0,10,1,1,false,symmetric,true,1,1,2.394928,0.201736,2.2739515,0.24043062,4
44d0264e-e608-43c6-9da3-eb6e5980eb12,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,1,2.5174782,0.18647112,2.364662,0.17942584,5
b42e82db-34a0-45ba-bd3d-9e72de8bfade,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,ibest,true,1,1,2.5256479,0.17449865,2.4382975,0.16267942,6
e6c73962-4cd8-4bf2-9e9b-7557fc0666f8,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,symmetric,true,1,1,2.5258105,0.18916492,2.4998932,0.16267942,7
c4395606-bbd1-42cd-846c-5731931a1239,abalone,bhh,bhh,false,5,0,10,1,1,false,pbest,true,1,1,2.486181,0.20083807,2.611517,0.18421052,8
857f2424-6a33-4678-b92b-e5cc92fe4472,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,1,2.4654462,0.2068243,2.6421266,0.21411483,9
e941bd95-6a46-4c3a-b35f-233688e419a6,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,rbest,true,1,1,2.5068052,0.2119126,6.2685237,0.17583732,10
4ec36622-0c7d-429e-89fc-04c294e5cb0e,abalone,bhh,bhh,false,5,0,10,1,1,false,symmetric,true,1,2,2.2565632,0.20353188,2.2122564,0.23086125,1
2cecfedb-d574-4d17-af0f-ea39c44ed08a,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,pbest,true,1,2,2.2376678,0.20712362,2.2713037,0.20095694,2
8d771e93-4cbb-4679-8367-89b651189f81,abalone,bhh,bhh,false,5,0,10,1,1,false,rbest,true,1,2,2.3054826,0.21101467,2.3545368,0.2069378,3
81964027-22cd-429b-93cf-7debc9683979,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,rbest,true,1,2,2.533552,0.19455253,2.379428,0.25239235,4
2794ff09-8d0b-4e39-af9e-caf3ce3b4e9e,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,ibest,true,1,2,2.3553782,0.19574977,2.4268703,0.2416268,5
8d249024-c857-4a06-8e95-78ce9d90b346,abalone,bhh,bhh,false,5,0,10,1,1,false,pbest,true,1,2,2.3527315,0.22089195,2.4285321,0.20454545,6
c75bd4de-6760-4520-94b0-cbf0c2f2b319,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,2,2.3800473,0.2325651,2.4450095,0.23205742,7
16f2cd12-1533-42d1-8f33-c007c15d48b4,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,symmetric,true,1,2,2.319597,0.21610296,2.6358087,0.18181819,8
b874d0fd-bb26-484a-b89d-e9c114908892,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,2,2.3322632,0.2092188,2.9625769,0.20095694,9
9e31b32d-c4b7-44f3-8b2c-dfa3b33ce391,abalone,bhh,bhh,false,5,0,10,1,1,false,ibest,true,1,2,2.1763332,0.23855133,3.3791945,0.19856459,10
3290fccf-d13d-4db1-9655-11794795ff89,abalone,bhh,bhh,false,5,0,10,1,1,false,symmetric,true,1,3,2.256563,0.20353188,2.2122564,0.23086125,1
7565a8bc-5bb5-4e62-8b17-6d9c3e01f17f,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,pbest,true,1,3,2.1794274,0.24842861,2.2226098,0.22248805,2
5df9b5d7-c11b-4115-8a83-7540057b31ad,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,ibest,true,1,3,2.2859547,0.2220892,2.3191288,0.17224881,3
b53f5c7a-01b3-4162-8526-9891d9bb1544,abalone,bhh,bhh,false,5,0,10,1,1,false,rbest,true,1,3,2.3054821,0.21101467,2.3545365,0.2069378,4
6bb4fff9-d59f-4c6f-adc0-2f4a0bdee9df,abalone,bhh,bhh,false,5,0,10,1,1,false,pbest,true,1,3,2.3527312,0.22089195,2.4285324,0.20454545,5
ede569e3-199d-4f02-adb2-3ae7b42d3279,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,3,2.3800476,0.2325651,2.4450095,0.23205742,6
a33b8d96-0814-4ef2-a799-54b9a05a496d,abalone,bhh,bhh,false,5,0,10,1,1,false,ibest,true,1,3,2.8234859,0.16821311,2.5396183,0.22129187,7
3e44ea23-9252-472f-ad58-a6bc0eeb76fe,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,3,2.3063169,0.24094583,2.902009,0.19736843,8
a1630a06-8b3c-45af-811b-fba8fdf5537c,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,rbest,true,1,3,2.1529703,0.23825201,3.0036247,0.20095694,9
effbcb17-d788-487a-ba3f-e206f65aa23d,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,symmetric,true,1,3,2.191902,0.23466028,3.2696788,0.1471292,10
162be75c-f0a3-4eec-9068-163b3e738856,abalone,bhh,bhh,false,5,0,10,1,1,false,symmetric,true,1,4,2.256563,0.20353188,2.2122564,0.23086125,1
8f49878b-a0eb-4dcb-8b9a-8d046018795c,abalone,bhh,bhh,false,5,0,10,1,1,false,rbest,true,1,4,2.3054821,0.21101467,2.3545365,0.2069378,2
32e1aee9-ee3d-47c7-89b5-aefc08c4075e,abalone,bhh,bhh,false,5,0,10,1,1,false,pbest,true,1,4,2.3527312,0.22089195,2.4285321,0.20454545,3
e5b6ac24-051a-4aea-b479-b37d069e4913,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,4,2.3800478,0.2325651,2.4450095,0.23205742,4
892a307d-0f3c-4385-a799-fba0927a1a2c,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,symmetric,true,1,4,2.0678525,0.27207422,2.4589615,0.17583732,5
e60f5881-853c-4e2f-8f9c-604647b3b552,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,false,rbest,true,1,4,2.0410092,0.26040107,2.6582174,0.20095694,6
