id,dataset,heuristic_type,heuristic,is_baseline,population,burn_in,replay,reselection,reanalysis,normalisation,credit,discounted_rewards,run,step,train_loss,train_accuracy,test_loss,test_accuracy,rank
d224020c-9d2e-4040-8ad0-292ebbbdb3f3,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,0,3.4682002,0.038311884,3.4579248,0.04186603,1
9382cf3f-2050-4a8b-88ca-6c9f1162ce6d,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,0,3.4640377,0.038311884,3.4745626,0.04186603,2
68f02b06-0310-4328-9828-3f0a8a8b3ba5,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,1,2.5174782,0.18647112,2.364662,0.17942584,1
73eaddff-f330-4bf4-a357-55948b5c723b,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,1,2.4654462,0.2068243,2.6421266,0.21411483,2
b8d335ad-7517-4635-9b44-7da866113982,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,2,2.3800473,0.2325651,2.4450095,0.23205742,1
f5d3d69c-29c8-48ea-a8c6-f855520cfaae,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,2,2.3322632,0.2092188,2.9625769,0.20095694,2
f04556e8-4365-494f-9c1b-5b6912752b0c,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,3,2.3800476,0.2325651,2.4450095,0.23205742,1
3ea29d21-48b4-475f-85c5-cce750b26d16,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,3,2.3063169,0.24094583,2.902009,0.19736843,2
8ddd4cd5-512f-4228-8214-214a97d9c70e,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,4,2.3800478,0.2325651,2.4450095,0.23205742,1
eb9ecbac-1577-4ef8-a825-6ada709f6123,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,4,2.1006007,0.2556121,3.0443249,0.19856459,2
391a2318-e448-4583-8fcd-b781de55c462,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,5,2.03759,0.26459143,2.172724,0.22129187,1
a8dfbe62-a448-43f2-b88f-c1c493ba0bc0,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,5,2.3800476,0.2325651,2.4450095,0.23205742,2
139d58bb-74c6-4785-8c75-00466a58b17c,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,6,2.3800473,0.2325651,2.4450095,0.23205742,1
bfe7748a-3a2e-4441-832b-729c1036ed80,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,6,2.0180724,0.27357078,2.463698,0.19976076,2
c9ddc451-30d0-4f21-bfae-43b56398437c,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,7,2.3800478,0.2325651,2.4450097,0.23205742,1
c93ad8d4-2fa6-4382-b320-50b6a1a62477,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,7,2.0065932,0.26818317,2.6187317,0.18062201,2
15a6b357-b2b7-419a-ac5e-1fc1028a56d9,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,8,2.0062306,0.26908112,2.1955597,0.2236842,1
