id,dataset,heuristic_type,heuristic,is_baseline,population,burn_in,replay,reselection,reanalysis,normalisation,credit,discounted_rewards,run,step,train_loss,train_accuracy,test_loss,test_accuracy,rank
2da15e99-2f76-4867-93dc-0a706efcae1a,abalone,bhh,bhh,false,5,0,10,1,10,false,gbest,true,1,0,3.4735756,0.037413947,3.4364455,0.045454547,1
a6cdd707-3a89-4c69-bc70-e2a053720363,abalone,bhh,bhh,false,5,0,10,1,5,false,gbest,true,1,0,3.470614,0.03801257,3.4482787,0.043062203,2
7f4668a4-6e76-4dd2-ba73-9e82f1be14fb,abalone,bhh,bhh,false,5,0,10,1,100,false,gbest,true,1,0,3.4689012,0.03950913,3.4551249,0.03708134,3
74d566ac-036c-4220-a778-1175b712122f,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,0,3.4682002,0.038311884,3.4579248,0.04186603,4
a31e1ed7-5baf-4e7d-a2e8-d3e438f8d4ba,abalone,bhh,bhh_gd_only,false,5,0,10,1,100,false,gbest,true,1,0,3.467626,0.03950913,3.4602206,0.03708134,5
9141627c-a36b-4491-bc70-023bfa36d1f8,abalone,bhh,bhh_gd_only,false,5,0,10,1,10,false,gbest,true,1,0,3.4673734,0.039209817,3.4612315,0.03827751,6
251fc863-db22-40c1-ba6d-0c2998695735,abalone,bhh,bhh_gd_only,false,5,0,10,1,50,false,gbest,true,1,0,3.4642076,0.04160431,3.473882,0.028708134,7
74dae0b6-66d9-44cc-a3ef-963c41c18944,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,0,3.4640377,0.038311884,3.4745626,0.04186603,8
d25fb1e1-5285-4857-8d7c-b45c37a2becf,abalone,bhh,bhh_gd_only,false,5,0,10,1,5,false,gbest,true,1,0,3.4625237,0.040407065,3.4806118,0.033492822,9
836c09bc-d9d4-4cbc-bda1-a963f63372f0,abalone,bhh,bhh,false,5,0,10,1,50,false,gbest,true,1,0,3.4615588,0.040706374,3.4844673,0.03229665,10
c72a9497-dd3d-43fa-be59-06a96d814a78,abalone,bhh,bhh_gd_only,false,5,0,10,1,50,false,gbest,true,1,1,2.492196,0.20053875,2.2051444,0.23684211,1
1d11aba1-f974-4203-a29b-c31ab191afca,abalone,bhh,bhh,false,5,0,10,1,50,false,gbest,true,1,1,2.3312328,0.23615684,2.2077155,0.23564593,2
fa010d21-32aa-459e-add5-df3017517373,abalone,bhh,bhh_gd_only,false,5,0,10,1,5,false,gbest,true,1,1,2.478693,0.20023945,2.2791011,0.21411483,3
ff19bfb9-1759-48ce-9836-7b00fccca545,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,1,2.5174782,0.18647112,2.364662,0.17942584,4
b734dbc0-1f49-45db-99f7-7b04083aa032,abalone,bhh,bhh,false,5,0,10,1,5,false,gbest,true,1,1,2.5298545,0.19036217,2.4056048,0.26435408,5
0e2e70ae-af7f-45c3-a2ff-649073c4db44,abalone,bhh,bhh,false,5,0,10,1,10,false,gbest,true,1,1,2.6058047,0.20532775,2.4155524,0.21889952,6
bbbcec63-415d-4c66-950c-f9fc0698630b,abalone,bhh,bhh,false,5,0,10,1,100,false,gbest,true,1,1,2.4918149,0.22388506,2.4873297,0.2117225,7
