id,dataset,heuristic_type,heuristic,is_baseline,population,burn_in,replay,reselection,reanalysis,normalisation,credit,discounted_rewards,run,step,train_loss,train_accuracy,test_loss,test_accuracy,rank
d30f5a51-d4cd-47e8-8cb2-4eced1bf130f,abalone,bhh,bhh,false,5,0,10,50,1,false,gbest,true,1,0,3.475626,0.03412152,3.42825,0.05861244,1
b84e7b99-8070-4fa9-a9f3-dbf3169307cf,abalone,bhh,bhh,false,5,0,10,100,1,false,gbest,true,1,0,3.472039,0.03980844,3.4425845,0.035885166,2
528f6608-e79c-486f-9104-a26ed47e4b3c,abalone,bhh,bhh_gd_only,false,5,0,10,100,1,false,gbest,true,1,0,3.4684641,0.037413947,3.4568713,0.045454547,3
a78cc6ae-04bf-4be9-a7b9-43128c612040,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,0,3.4682002,0.038311884,3.4579248,0.04186603,4
78f5357e-3c60-4569-8e54-737a4b7c61a1,abalone,bhh,bhh_gd_only,false,5,0,10,10,1,false,gbest,true,1,0,3.4665346,0.040706374,3.4645832,0.03229665,5
46386475-627f-4c6b-9954-966060993236,abalone,bhh,bhh_gd_only,false,5,0,10,5,1,false,gbest,true,1,0,3.4640849,0.041304998,3.4743721,0.029904306,6
379b76cf-2144-4671-8e1f-f6c4f7d21cae,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,0,3.4640377,0.038311884,3.4745626,0.04186603,7
7252817f-1429-44b9-8e1d-4ad1af800083,abalone,bhh,bhh,false,5,0,10,10,1,false,gbest,true,1,0,3.4631362,0.03950913,3.4781659,0.03708134,8
39166ab8-bdf0-42ef-9b27-39b2de14ccd3,abalone,bhh,bhh_gd_only,false,5,0,10,50,1,false,gbest,true,1,0,3.4620388,0.039209817,3.4825501,0.03827751,9
f547c156-2981-4310-a39c-1ab9e2ae6447,abalone,bhh,bhh,false,5,0,10,5,1,false,gbest,true,1,0,3.4607627,0.041005686,3.4876513,0.031100478,10
13c47915-d792-406b-a873-f83bd4b3d823,abalone,bhh,bhh,false,5,0,10,10,1,false,gbest,true,1,1,2.4754775,0.2143071,2.1638687,0.2284689,1
758df2a2-d163-4637-926f-03c6f544836c,abalone,bhh,bhh,false,5,0,10,5,1,false,gbest,true,1,1,2.3900735,0.20562705,2.212372,0.25717703,2
cc21bb46-c70d-4096-a697-b0dba9adcd4a,abalone,bhh,bhh_gd_only,false,5,0,10,10,1,false,gbest,true,1,1,2.4404926,0.21071535,2.2604342,0.20933014,3
eddfc6d7-ddad-4610-8659-ff7e68b8ef5e,abalone,bhh,bhh,false,5,0,10,50,1,false,gbest,true,1,1,2.4071043,0.21101467,2.3465014,0.24880382,4
f01584e4-ec09-413f-a31a-8631adb39828,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,1,2.5174782,0.18647112,2.364662,0.17942584,5
eefb71cd-1826-4c08-b41e-8183fc8d8488,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,1,2.4654462,0.2068243,2.6421266,0.21411483,6
c9adb587-8b54-4c30-aa8d-8717018132f9,abalone,bhh,bhh,false,5,0,10,100,1,false,gbest,true,1,1,2.4466903,0.21071535,2.6455634,0.2200957,7
8ef2d886-f66b-45b4-9658-7ca1cad24a2d,abalone,bhh,bhh_gd_only,false,5,0,10,100,1,false,gbest,true,1,1,2.4683208,0.22448368,2.663803,0.19976076,8
93d9a2db-6bbb-4873-943c-b3761c7ab93f,abalone,bhh,bhh_gd_only,false,5,0,10,50,1,false,gbest,true,1,1,2.5641768,0.20622568,2.9607024,0.24880382,9
667993ef-6cf7-41c4-8fa1-74aae23e7558,abalone,bhh,bhh_gd_only,false,5,0,10,5,1,false,gbest,true,1,1,2.3641038,0.24124514,2.9831984,0.1770335,10
a98f500a-abf6-4b45-9019-8d6656e58477,abalone,bhh,bhh,false,5,0,10,5,1,false,gbest,true,1,2,2.1460814,0.23555821,2.1083412,0.24043062,1
cfcf460e-9ebf-4f20-ab10-19149bbece44,abalone,bhh,bhh,false,5,0,10,10,1,false,gbest,true,1,2,2.1420639,0.24753068,2.1463053,0.20095694,2
ebadc4b0-14e8-4be7-8384-e2d172b317cd,abalone,bhh,bhh,false,5,0,10,100,1,false,gbest,true,1,2,2.2089226,0.22448368,2.262186,0.23803827,3
cdffbfd8-8b84-4941-8018-cf27a309181c,abalone,bhh,bhh,false,5,0,10,50,1,false,gbest,true,1,2,2.1594994,0.23316373,2.292884,0.22488038,4
