id,dataset,heuristic_type,heuristic,is_baseline,population,burn_in,replay,reselection,reanalysis,normalisation,credit,discounted_rewards,run,step,train_loss,train_accuracy,test_loss,test_accuracy,rank
11643526-e63c-4269-8053-0187af1d032c,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,0,3.4682002,0.038311884,3.4579248,0.04186603,1
5d69c506-556a-4a42-9ca5-321b05d9eb1d,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,0,3.4640377,0.038311884,3.4745626,0.04186603,2
a3572467-bee1-4bb1-bc38-0a360eef296c,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,0,3.464007,0.038910504,3.4746847,0.039473683,3
854efe07-25d2-4b0b-8489-617150af6b44,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,0,3.4638112,0.036815323,3.475467,0.04784689,4
44059258-64f7-4ba5-be31-fd86b980fab4,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,1,2.576626,0.17928764,2.2411952,0.18301435,1
88129c70-8e3f-4aab-b033-03759ec65476,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,1,2.5174782,0.18647112,2.364662,0.17942584,2
c1cff8c5-fca2-420b-afa6-55cbd72c804c,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,1,2.5370638,0.21281053,2.5816913,0.19617225,3
b411a39c-ce05-4db9-90fc-bf9bb2f71a8b,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,1,2.4654462,0.2068243,2.6421266,0.21411483,4
fd7f63e3-57ce-4235-aac9-72c571f15a7a,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,2,2.3800473,0.2325651,2.4450095,0.23205742,1
c0d154c8-141e-484e-b13c-d9ecabf9e587,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,2,2.3322632,0.2092188,2.9625769,0.20095694,2
e6d1dfe8-bf77-4fc1-a982-22615ca013c7,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,2,2.3067138,0.16611792,3.716453,0.20454545,3
8ee8bfb0-ff95-45bb-9dc9-c1552d312a67,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,2,2.3582761,0.2146064,6.2423687,0.14593302,4
2ae7f43a-27d2-4bbb-bc5e-b4332ba231ca,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,3,2.3800476,0.2325651,2.4450095,0.23205742,1
4f6a8e52-32dc-4bbc-9863-eae6c8d320ef,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,3,2.6869192,0.17749177,2.5824184,0.19258372,2
2e2b94d6-e1e5-4204-81c4-301498fe0861,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,3,2.3218277,0.23645616,2.808668,0.17942584,3
5bee3c0b-fe63-4e87-b20c-d290b1b2ed4c,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,3,2.3063169,0.24094583,2.902009,0.19736843,4
b5e67729-964c-4634-bea8-ae575f36849c,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,4,2.3800478,0.2325651,2.4450095,0.23205742,1
8d9279e5-8bb6-4cf9-b77a-f6c7bec0c53b,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,4,2.1190104,0.25142172,2.7525606,0.16267942,2
a350b7e2-89b4-4655-abd6-5dcf0dabdf76,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,4,2.1006007,0.2556121,3.0443249,0.19856459,3
0e05c98b-d473-4690-947c-21720a828957,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,4,2.4737587,0.20592637,4.932508,0.12200957,4
6cba54c0-ac43-45c4-ad7e-7112a9383df3,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,5,2.058572,0.27536666,2.1510305,0.23205742,1
e682f004-4d12-46b4-9e40-ba0a2aad7819,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,5,2.03759,0.26459143,2.172724,0.22129187,2
990da35c-dd30-48d3-bbfd-6be07197d9f6,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,5,2.3800476,0.2325651,2.4450095,0.23205742,3
47748d8c-a9dd-44e5-be37-29b631397360,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,5,3.6976707,0.12571086,3.4287694,0.08971292,4
d52977f0-669d-4688-a8e7-864791f8e640,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,6,2.3800473,0.2325651,2.4450095,0.23205742,1
aca68d31-ca58-49e2-a6fd-52d917a0d6b8,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,6,2.0180724,0.27357078,2.463698,0.19976076,2
73cc5c90-c41e-46b3-ba84-3ccb7aaf1b79,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,6,2.029332,0.26818317,3.0247052,0.1471292,3
e191235c-dabf-4957-b778-942ba58724ff,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,6,3.4291673,0.09937145,3.4287696,0.08971292,4
eff21fd0-c26c-4fee-8818-60a2c60b2ac4,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,7,2.028168,0.27476802,2.2768824,0.18421052,1
0c754e3e-808f-4e73-a1e0-02fe09d93bf8,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,7,2.3800478,0.2325651,2.4450097,0.23205742,2
670bbf4c-acd3-4b52-9c96-5334c9ac3fef,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,7,2.0065932,0.26818317,2.6187317,0.18062201,3
82baa50f-3d42-44fb-93f5-eb83a2cd9320,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,7,3.4291673,0.09937145,3.4287696,0.08971292,4
181a2f7a-6957-4e23-8ff0-fff7045c82f1,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,8,2.029959,0.26459143,2.1469328,0.21052632,1
47976a68-f8ce-4c18-b51f-5ee102666f6c,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,8,2.0062306,0.26908112,2.1955597,0.2236842,2
13ae80b8-0d58-424d-8458-dbe2e2acda88,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,8,2.379963,0.2325651,2.6195836,0.21770334,3
04ece855-2a4d-49bc-a2d1-78fe89757442,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,8,3.4291673,0.09937145,3.4287694,0.08971292,4
d9fc0b0a-179a-4ee4-a712-83f80d5edb0a,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,9,2.0301497,0.26908112,2.133266,0.23444976,1
adc5a70b-8549-481c-baf2-55fbc5036206,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,9,1.9976771,0.27177492,2.2717702,0.215311,2
067cabd5-e4c4-4d8f-8c90-9b68a94f8ec8,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,9,2.533164,0.20802155,2.8060625,0.18779904,3
60c596f5-6908-4f4e-b2f6-01ca76fe78b9,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,9,3.4291673,0.09937145,3.4287696,0.08971292,4
0643a2e8-b581-4e09-8b4d-7c49cde9896c,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,10,2.0295858,0.26788387,2.1290402,0.21052632,1
1d1e9109-202b-402f-94ac-606f583a44fe,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,10,2.0044577,0.27716252,2.203956,0.2200957,2
259e9e6e-1823-4e38-9fba-ff02e2dda2fa,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,10,2.671924,0.17599522,2.7750332,0.2200957,3
54d2239a-9dd2-403d-ad8b-20d935236e0b,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,10,3.4291675,0.09937145,3.4287694,0.08971292,4
6e747a8d-37ec-410c-a1c1-cfdd6a07f55d,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,11,2.0279124,0.27207422,2.0399477,0.25956938,1
a9ceff04-e252-4590-a6ea-a890fc18292f,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,11,2.0210028,0.27297217,2.3752768,0.19976076,2
e139236c-e959-4d57-941d-8d588807193e,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,11,2.5050757,0.22508231,2.827294,0.22607656,3
e7660860-d784-453e-a8ff-c09645a49d35,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,11,3.4291677,0.09937145,3.4287696,0.08971292,4
e5d41113-9ddd-458c-8c63-113c9468b777,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,12,2.0209813,0.27237353,2.075029,0.22966507,1
b78c0072-f637-428a-a1fc-71953e3d351c,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,12,2.0198545,0.27177492,2.1393087,0.20215312,2
f18c1460-c5af-4c0d-a3ca-de175ec1aa8e,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,12,2.3983526,0.21281053,2.4126925,0.21770334,3
7e1135f9-ce82-4aeb-82d8-d2a2ef5fdbfd,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,12,3.137659,0.12481293,3.0121975,0.15311004,4
c94d15cd-bac4-4145-8593-bb0b26950af8,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,13,2.0147567,0.27626458,2.0636802,0.25717703,1
b7d5e43b-36a0-4299-9cfa-8e08791ad006,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,13,2.014705,0.27446872,2.0936418,0.23086125,2
e57d748f-5dd8-4a20-8481-cb974e50bae0,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,13,2.3260016,0.21849746,2.5587497,0.21291865,3
3659a972-e4b8-413b-8030-f5a7f887b7de,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,13,2.8999546,0.142173,3.012197,0.15311004,4
429624a7-15a2-41c5-b31c-1547af2f20c6,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,14,2.010119,0.27357078,2.088358,0.26913875,1
6f500d18-1528-4b93-b856-66ad185b96f1,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,14,2.0092604,0.27955702,2.2078907,0.22966507,2
e88bab5f-fe48-4de6-b93e-7db7dd7c9dff,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,14,2.4297135,0.19964083,2.375177,0.1854067,3
c0241fdf-8ae5-400a-8bdb-46c20e467411,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,14,2.8999546,0.142173,3.0121975,0.15311004,4
0b2591ba-2828-441f-95c2-0cfcb63173c0,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,15,2.0267067,0.26519006,2.040411,0.24043062,1
a462fd8d-e5bc-4252-9680-6f0e474e4805,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,15,2.0310144,0.27027836,2.1182444,0.23086125,2
2fc01cfd-a3e5-4a3f-81d6-744c3d0aa059,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,15,2.244374,0.2122119,3.1176727,0.18301435,3
6be72b20-8c17-479c-a4a9-66a0409d515c,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,15,2.8466315,0.15833583,3.3610733,0.17105263,4
0b6a9faa-76b2-4f79-bf98-d33da5c58f8c,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,16,2.024716,0.2711763,2.0358238,0.25358853,1
2b15487d-b022-45cb-8e13-4eec9c969a96,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,16,2.019468,0.28075427,2.1436853,0.23086125,2
f93566a2-61ad-4ed3-abf6-1c5301557858,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,16,2.2968898,0.20742293,2.7106218,0.19856459,3
52baa453-d2da-4301-83b6-1f98ad394e3a,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,16,2.8643725,0.1730021,2.824861,0.20334928,4
a0c08a27-fe07-4f20-9ac9-ee0cd66ea33d,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,17,2.0339854,0.25920382,2.031668,0.24760765,1
8a50f83e-1510-4c00-bfa5-9dff81452d23,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,17,2.0431094,0.26399282,2.1369414,0.22966507,2
b74a0887-3c02-4290-a109-853c2b06f1cf,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,17,2.2979643,0.21580365,2.2445786,0.22248805,3
45bc2ee8-8619-48bd-b642-5c8b39437c00,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,17,2.6672876,0.16851242,2.65769,0.1638756,4
cde8e440-a294-4cdb-aacb-627bf9afa804,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,18,2.0403817,0.25980246,2.0316749,0.24760765,1
82696907-9c59-42b0-bd91-7ac5b6dc5d86,abalone,bhh,bhh_gd_only,true,5,0,10,1,1,false,gbest,true,1,18,2.0502467,0.2636935,2.181158,0.2284689,2
d15c0e6d-f5cd-49ba-81a0-b31c21b0c722,abalone,bhh,bhh,true,5,0,10,1,1,false,gbest,true,1,18,2.1929374,0.23076923,2.3139894,0.215311,3
96168d8c-e7e6-457f-a31a-c57efdb561b4,abalone,bhh,bhh,false,5,0,10,1,1,true,gbest,true,1,18,2.533895,0.17120622,5.0656066,0.16507177,4
f2421b19-f6c7-49b5-9c2d-f1e246ab5ad5,abalone,bhh,bhh_gd_only,false,5,0,10,1,1,true,gbest,true,1,19,2.0415661,0.25770727,2.0316746,0.24760765,1
