Average of train_loss,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd,,step,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd
0,1.401344805,1.377695414,1.396325737,1.387298406,1.391368495,1.36943193,1.393182246,1.405641454,1.381596795,1.40551305,1.39610183,1.375754513,,0,1.401344805,1.377695414,1.396325737,1.387298406,1.391368495,1.36943193,1.393182246,1.405641454,1.381596795,1.40551305,1.39610183,1.375754513
1,1.0950876,0.811329521,0.730000733,0.761073896,0.678086921,0.898216698,0.977668683,1.09785456,1.035313895,0.651685721,0.578474491,1.07198012,,1,1.0950876,0.811329521,0.730000733,0.761073896,0.678086921,0.898216698,0.977668683,1.09785456,1.035313895,0.651685721,0.578474491,1.07198012
2,1.086089,0.550180362,0.365115753,0.424479259,0.393717655,0.709662671,0.863553638,1.08322655,0.852534503,0.331965471,0.255367999,1.033780911,,2,1.086089,0.550180362,0.365115753,0.424479259,0.393717655,0.709662671,0.863553638,1.08322655,0.852534503,0.331965471,0.255367999,1.033780911
3,1.07693896,0.460761172,0.262489952,0.34040762,0.306204794,0.603745499,0.799599959,1.06512679,0.64639558,0.231732367,0.193406456,0.999926977,,3,1.07693896,0.460761172,0.262489952,0.34040762,0.306204794,0.603745499,0.799599959,1.06512679,0.64639558,0.231732367,0.193406456,0.999926977
4,1.06770558,0.417606126,0.196516296,0.289153625,0.265527325,0.553617471,0.720673007,1.04638253,0.501915536,0.157674817,0.158117939,0.969446629,,4,1.06770558,0.417606126,0.196516296,0.289153625,0.265527325,0.553617471,0.720673007,1.04638253,0.501915536,0.157674817,0.158117939,0.969446629
5,1.0579098,0.391229985,0.150209364,0.24924689,0.243776014,0.528320605,0.670986442,1.0291688,0.41786358,0.122269459,0.135401842,0.94302409,,5,1.0579098,0.391229985,0.150209364,0.24924689,0.243776014,0.528320605,0.670986442,1.0291688,0.41786358,0.122269459,0.135401842,0.94302409
6,1.04747103,0.374438239,0.120206629,0.227834561,0.225250261,0.486517745,0.618030145,1.01347214,0.365838697,0.116759716,0.120349166,0.919732989,,6,1.04747103,0.374438239,0.120206629,0.227834561,0.225250261,0.486517745,0.618030145,1.01347214,0.365838697,0.116759716,0.120349166,0.919732989
7,1.036087505,0.3620595,0.104467318,0.209493527,0.212468159,0.468434934,0.573819758,0.99953263,0.32741218,0.091218077,0.108384776,0.900078946,,7,1.036087505,0.3620595,0.104467318,0.209493527,0.212468159,0.468434934,0.573819758,0.99953263,0.32741218,0.091218077,0.108384776,0.900078946
8,1.0235145,0.353351583,0.093623994,0.192798998,0.196551006,0.444099113,0.543518247,0.987250594,0.299844421,0.079045517,0.100825879,0.883660736,,8,1.0235145,0.353351583,0.093623994,0.192798998,0.196551006,0.444099113,0.543518247,0.987250594,0.299844421,0.079045517,0.100825879,0.883660736
9,1.009842911,0.346912542,0.086552464,0.181171721,0.187658532,0.41381314,0.513221674,0.976463304,0.280227027,0.063364358,0.094764583,0.869726389,,9,1.009842911,0.346912542,0.086552464,0.181171721,0.187658532,0.41381314,0.513221674,0.976463304,0.280227027,0.063364358,0.094764583,0.869726389
10,0.99458276,0.341759775,0.081581187,0.172793206,0.181779956,0.402272965,0.490448161,0.967239262,0.265906335,0.073308132,0.091108773,0.858210777,,10,0.99458276,0.341759775,0.081581187,0.172793206,0.181779956,0.402272965,0.490448161,0.967239262,0.265906335,0.073308132,0.091108773,0.858210777
11,0.977958666,0.338057471,0.078830906,0.162367946,0.177340598,0.386477105,0.475178056,0.959236255,0.254780847,0.061501439,0.089233392,0.848586779,,11,0.977958666,0.338057471,0.078830906,0.162367946,0.177340598,0.386477105,0.475178056,0.959236255,0.254780847,0.061501439,0.089233392,0.848586779
12,0.95940322,0.335044666,0.075896234,0.153507154,0.172085602,0.381775955,0.456081078,0.952555289,0.24561937,0.057094156,0.085820587,0.840670439,,12,0.95940322,0.335044666,0.075896234,0.153507154,0.172085602,0.381775955,0.456081078,0.952555289,0.24561937,0.057094156,0.085820587,0.840670439
13,0.939222062,0.332487169,0.073936999,0.147616597,0.169236318,0.369694696,0.445460117,0.946790654,0.238928196,0.058670536,0.084327953,0.834050612,,13,0.939222062,0.332487169,0.073936999,0.147616597,0.169236318,0.369694696,0.445460117,0.946790654,0.238928196,0.058670536,0.084327953,0.834050612
14,0.918005912,0.33050438,0.072513023,0.141210176,0.165543908,0.36349587,0.432284598,0.941874735,0.233551577,0.06364254,0.084027214,0.828621762,,14,0.918005912,0.33050438,0.072513023,0.141210176,0.165543908,0.36349587,0.432284598,0.941874735,0.233551577,0.06364254,0.084027214,0.828621762
15,0.895443281,0.328942654,0.071585097,0.13475977,0.164922858,0.35527538,0.419061058,0.937828228,0.229076289,0.061185674,0.082393741,0.824123848,,15,0.895443281,0.328942654,0.071585097,0.13475977,0.164922858,0.35527538,0.419061058,0.937828228,0.229076289,0.061185674,0.082393741,0.824123848
16,0.872294528,0.327802328,0.070820751,0.12914712,0.163506503,0.349934463,0.410231191,0.934409532,0.225500494,0.057513536,0.08159831,0.820347153,,16,0.872294528,0.327802328,0.070820751,0.12914712,0.163506503,0.349934463,0.410231191,0.934409532,0.225500494,0.057513536,0.08159831,0.820347153
17,0.849020956,0.326777337,0.070164286,0.125789766,0.163123612,0.338842755,0.405372777,0.93152829,0.222742337,0.047253406,0.080720707,0.817258518,,17,0.849020956,0.326777337,0.070164286,0.125789766,0.163123612,0.338842755,0.405372777,0.93152829,0.222742337,0.047253406,0.080720707,0.817258518
18,0.825999977,0.32595054,0.069600431,0.120363161,0.163131455,0.345517781,0.400627468,0.929147394,0.220357198,0.042685627,0.080522891,0.814681632,,18,0.825999977,0.32595054,0.069600431,0.120363161,0.163131455,0.345517781,0.400627468,0.929147394,0.220357198,0.042685627,0.080522891,0.814681632
19,0.803534341,0.325274501,0.069167361,0.115095691,0.165000172,0.352501584,0.399580074,0.927121856,0.218397227,0.042368892,0.079722541,0.812540083,,19,0.803534341,0.325274501,0.069167361,0.115095691,0.165000172,0.352501584,0.399580074,0.927121856,0.218397227,0.042368892,0.079722541,0.812540083
20,0.781847488,0.324737168,0.068885893,0.113032052,0.166663382,0.346459052,0.404506188,0.925426875,0.216835526,0.061890046,0.079351646,0.810779104,,20,0.781847488,0.324737168,0.068885893,0.113032052,0.166663382,0.346459052,0.404506188,0.925426875,0.216835526,0.061890046,0.079351646,0.810779104
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Average of train_accuracy,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd,,step,adadelta,adagrad,adam,bhh,bhh_gd_only,de,ga,momentum,nag,pso,rmsprop,sgd
0,0.397499998,0.411666667,0.40416667,0.405500001,0.40275,0.411666667,0.400000004,0.399166664,0.406666669,0.399166661,0.405000006,0.410833337,,0,0.397499998,0.411666667,0.40416667,0.405500001,0.40275,0.411666667,0.400000004,0.399166664,0.406666669,0.399166661,0.405000006,0.410833337
1,0.331666663,0.714166656,0.706666661,0.676333331,0.709250001,0.562499995,0.560000005,0.3225,0.469999998,0.704166665,0.731666656,0.355833331,,1,0.331666663,0.714166656,0.706666661,0.676333331,0.709250001,0.562499995,0.560000005,0.3225,0.469999998,0.704166665,0.731666656,0.355833331
2,0.348333331,0.819999999,0.822500004,0.820083331,0.824166666,0.676666666,0.6825,0.359166666,0.701666675,0.844166662,0.912500001,0.51583333,,2,0.348333331,0.819999999,0.822500004,0.820083331,0.824166666,0.676666666,0.6825,0.359166666,0.701666675,0.844166662,0.912500001,0.51583333
3,0.360833331,0.830833326,0.88583332,0.85625,0.877833333,0.71916667,0.702499999,0.416666673,0.769166671,0.90833333,0.939166665,0.599166677,,3,0.360833331,0.830833326,0.88583332,0.85625,0.877833333,0.71916667,0.702499999,0.416666673,0.769166671,0.90833333,0.939166665,0.599166677
4,0.385833331,0.846666659,0.910833338,0.883749998,0.897916665,0.741666658,0.740833323,0.458333333,0.79166667,0.944999994,0.958333329,0.640833342,,4,0.385833331,0.846666659,0.910833338,0.883749998,0.897916665,0.741666658,0.740833323,0.458333333,0.79166667,0.944999994,0.958333329,0.640833342
5,0.429166662,0.854166659,0.93666667,0.903250002,0.90725,0.738333321,0.7575,0.512500009,0.800000005,0.955833337,0.965833334,0.655833334,,5,0.429166662,0.854166659,0.93666667,0.903250002,0.90725,0.738333321,0.7575,0.512500009,0.800000005,0.955833337,0.965833334,0.655833334
6,0.462499999,0.868333331,0.958333324,0.91575,0.918,0.77583333,0.773333336,0.555833337,0.831666668,0.963333326,0.969166657,0.682500007,,6,0.462499999,0.868333331,0.958333324,0.91575,0.918,0.77583333,0.773333336,0.555833337,0.831666668,0.963333326,0.969166657,0.682500007
7,0.492500001,0.873333335,0.959999979,0.921833331,0.926333334,0.787500005,0.808333335,0.58750001,0.865000004,0.97166667,0.967499987,0.677500005,,7,0.492500001,0.873333335,0.959999979,0.921833331,0.926333334,0.787500005,0.808333335,0.58750001,0.865000004,0.97166667,0.967499987,0.677500005
8,0.529166666,0.874166666,0.969999987,0.933583329,0.934250001,0.775000005,0.819166663,0.61083334,0.890000009,0.970000009,0.974999998,0.68333334,,8,0.529166666,0.874166666,0.969999987,0.933583329,0.934250001,0.775000005,0.819166663,0.61083334,0.890000009,0.970000009,0.974999998,0.68333334
9,0.542500004,0.880833335,0.973333325,0.939166664,0.938416661,0.794166658,0.820000005,0.630833341,0.904166675,0.980000005,0.972499993,0.685833336,,9,0.542500004,0.880833335,0.973333325,0.939166664,0.938416661,0.794166658,0.820000005,0.630833341,0.904166675,0.980000005,0.972499993,0.685833336
10,0.555833332,0.88000001,0.967499984,0.941749995,0.941916662,0.809166657,0.824999991,0.63583333,0.909166667,0.976666675,0.975833332,0.686666672,,10,0.555833332,0.88000001,0.967499984,0.941749995,0.941916662,0.809166657,0.824999991,0.63583333,0.909166667,0.976666675,0.975833332,0.686666672
11,0.5775,0.880000005,0.964999977,0.942666663,0.943749994,0.83250001,0.824166664,0.640833336,0.913333333,0.980000002,0.972499992,0.686666669,,11,0.5775,0.880000005,0.964999977,0.942666663,0.943749994,0.83250001,0.824166664,0.640833336,0.913333333,0.980000002,0.972499992,0.686666669
12,0.602500002,0.881666675,0.966666647,0.947749993,0.947666661,0.842499998,0.829166684,0.653333337,0.919166666,0.97666667,0.974999996,0.69333334,,12,0.602500002,0.881666675,0.966666647,0.947749993,0.947666661,0.842499998,0.829166684,0.653333337,0.919166666,0.97666667,0.974999996,0.69333334
13,0.621666663,0.883333346,0.969166651,0.951749996,0.948083328,0.849166665,0.844166676,0.657500008,0.91833334,0.97750001,0.972499991,0.693333345,,13,0.621666663,0.883333346,0.969166651,0.951749996,0.948083328,0.849166665,0.844166676,0.657500008,0.91833334,0.97750001,0.972499991,0.693333345
14,0.636666667,0.882500011,0.970833322,0.954499993,0.949749992,0.857499994,0.835833334,0.665833345,0.925833337,0.976666673,0.971666657,0.69666667,,14,0.636666667,0.882500011,0.970833322,0.954499993,0.949749992,0.857499994,0.835833334,0.665833345,0.925833337,0.976666673,0.971666657,0.69666667
15,0.664166666,0.883333346,0.972499992,0.955916659,0.953749992,0.86166666,0.835000011,0.670833337,0.926666671,0.974999993,0.970833321,0.697500006,,15,0.664166666,0.883333346,0.972499992,0.955916659,0.953749992,0.86166666,0.835000011,0.670833337,0.926666671,0.974999993,0.970833321,0.697500006
