Sex,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,Rings,F,I,M
M,-0.5745580196380615,-0.43214866518974304,-1.0644241571426392,-0.6418982148170471,-0.607685387134552,-0.7262115478515625,-0.6382168531417847,14,0,0,1
M,-1.4489858150482178,-1.4399292469024658,-1.1839781999588013,-1.2302770614624023,-1.1709098815917969,-1.2052212953567505,-1.2129873037338257,6,0,0,1
F,0.050032857805490494,0.12213020026683807,-0.10799074918031693,-0.3094692826271057,-0.46349987387657166,-0.35668984055519104,-0.20713910460472107,8,1,0,0
M,-0.699476420879364,-0.43214866518974304,-0.3470992147922516,-0.6378193497657776,-0.6482375264167786,-0.607599675655365,-0.6022937297821045,9,0,0,1
I,-1.6155433654785156,-1.5407071113586426,-1.4230866432189941,-1.2720856666564941,-1.2159677743911743,-1.2873371839523315,-1.3207567930221558,6,0,1,0
I,-0.8243945240974426,-1.0872057676315308,-1.0644241571426392,-0.9733074307441711,-0.9839193224906921,-0.9406254291534424,-0.8537557721138,7,0,1,0
F,0.050032857805490494,0.07174123823642731,0.25067174434661865,-0.10450544208288193,-0.551362931728363,-0.35668984055519104,0.6550166606903076,19,1,0,0
F,0.1749514788389206,0.17251944541931152,-0.3470992147922516,-0.12388007342815399,-0.29453256726264954,-0.2836979031562805,0.15209238231182098,15,1,0,0
M,-0.40800052881240845,-0.3817597031593323,-0.3470992147922516,-0.6510756611824036,-0.6437317132949829,-0.6212856769561768,-0.5304473638534546,8,0,0,1
F,0.21659085154533386,0.3236863613128662,0.25067174434661865,0.13410930335521698,-0.2021637260913849,-0.2700119614601135,0.5831702351570129,18,1,0,0
F,0.008393485099077225,-0.28098180890083313,0.011563297361135483,-0.45324984192848206,-0.7451121211051941,-0.30194592475891113,-0.20713910460472107,13,1,0,0
M,-0.7827551364898682,-0.5833158493041992,-0.7057616710662842,-0.8621578812599182,-0.8645157217979431,-0.9086914658546448,-0.74598628282547,9,0,0,1
M,-0.28308215737342834,-0.28098180890083313,-0.10799074918031693,-0.5858136415481567,-0.639225959777832,-0.7809555530548096,-0.35083168745040894,10,0,0,1
F,0.09167273342609406,-0.029036689549684525,0.1311173439025879,-0.2941735088825226,-0.3914071321487427,-0.08753198385238647,-0.24306224286556244,9,1,0,0
F,-0.4496398866176605,-0.5329269170761108,-0.9448699355125427,-0.7204167246818542,-0.8645157217979431,-0.9132534861564636,-0.3867548108100891,9,1,0,0
M,-0.1998033970594406,-0.07942565530538559,-0.22754515707492828,-0.33496227860450745,-0.4567412734031677,-0.43424373865127563,0.008399805054068565,11,0,0,1
I,-1.407346487045288,-1.2887619733810425,-1.303532361984253,-1.0977133512496948,-1.1911859512329102,-1.2873371839523315,-0.8896788954734802,6,0,1,0
F,-0.699476420879364,-0.6840937733650208,-0.9448699355125427,-0.7703830003738403,-0.7721469402313232,-0.8539475202560425,-0.7819095253944397,9,1,0,0
M,-1.32406747341156,-1.1375950574874878,-1.4230866432189941,-1.1690939664840698,-1.1821743249893188,-1.2554032802581787,-0.9974483847618103,6,0,0,1
M,-0.6161976456642151,-0.8856499195098877,-0.9448699355125427,-0.9131438732147217,-0.8509983420372009,-0.9634354114532471,-0.8896788954734802,8,0,0,1
M,-1.407346487045288,-1.2887619733810425,-1.0644241571426392,-1.1894882917404175,-1.18893301486969,-1.0820473432540894,-1.1770641803741455,10,0,0,1
I,-1.1991493701934814,-1.3391510248184204,-0.9448699355125427,-1.2302770614624023,-1.258772850036621,-1.2006592750549316,-1.1052178144454956,9,0,1,0
F,0.34150898456573486,0.3236863613128662,0.37022578716278076,0.2258840799331665,0.30699121952056885,0.30479973554611206,0.22393883764743805,11,1,0,0
F,0.21659085154533386,0.07174123823642731,-0.10799074918031693,-0.1330576241016388,-0.18639351427555084,0.26830366253852844,-0.2789853513240814,8,1,0,0
